29-Jul-82,15.5,
2-Aug-82,15,
16-Aug-82,14.5,
18-Aug-82,14,
3-Sep-82,13.5,
7-Oct-82,13,
13-Oct-82,12,
22-Nov-82,11.5,
11-Jan-83,11,
21-Feb-83,10.5,
8-Aug-83,11,
19-Mar-84,11.5,
5-Apr-84,12,
8-May-84,12.5,
26-Jun-84,13,
27-Sep-84,12.75,
16-Oct-84,12.5,
24-Oct-84,12,
8-Nov-84,11.75,
28-Nov-84,11.25,
19-Dec-84,10.75,
15-Jan-85,10.5,
20-May-85,10,
18-Jun-85,9.5,
7-Mar-86,9,
21-Apr-86,8.5,
11-Jul-86,8,
26-Aug-86,7.5,
1-Apr-87,7.75,
1-May-87,8,
15-May-87,8.25,
4-Sep-87,8.75,
7-Oct-87,9.25,
22-Oct-87,9,
5-Nov-87,8.75,
2-Feb-88,8.5,
11-May-88,9,
14-Jul-88,9.5,
11-Aug-88,10,
28-Nov-88,10.5,
10-Feb-89,11,
24-Feb-89,11.5,
5-Jun-89,11,
31-Jul-89,10.5,
8-Jan-90,10,
2-Jan-91,9.5,
4-Feb-91,9,
1-May-91,8.5,
13-Sep-91,8,
6-Nov-91,7.5,
23-Dec-91,6.5,
2-Jul-92,6,
24-Mar-94,6.25,
19-Apr-94,6.75,
18-May-94,7.25,
16-Aug-94,7.75,
15-Nov-94,8.5,
1-Feb-95,9,
7-Jul-95,8.75,
20-Dec-95,8.5,
31-Jan-96,8.25,
27-Mar-97,8.5,
30-Sep-98,8.25,
16-Oct-98,8,
18-Nov-98,7.75,
1-Jul-99,8,
25-Aug-99,8.25,
17-Nov-99,8.5,
3-Feb-00,8.75,
22-Mar-00,9,
17-May-00,9.5,
4-Jan-01,9,
1-Feb-01,8.5,
21-Mar-01,8,
19-Apr-01,7.5,
16-May-01,7,
28-Jun-01,6.75,
22-Aug-01,6.5,
18-Sep-01,6,
3-Oct-01,5.5,
7-Nov-01,5,
12-Dec-01,4.75,
7-Nov-02,4.25,
27-Jun-03,4,
1-Jul-04,4.25,
11-Aug-04,4.5,
21-Sep-04,4.75,
10-Nov-04,5,
14-Dec-04,5.25,
2-Feb-05,5.5,
22-Mar-05,5.75,
3-May-05,6,
30-Jun-05,6.25,
9-Aug-05,6.5,
20-Sep-05,6.75,
1-Nov-05,7,
13-Dec-05,7.25,
31-Jan-06,7.5,
28-Mar-06,7.75,
10-May-06,8,
29-Jun-06,8.25,
18-Sep-07,7.75,
31-Oct-07,7.5,
11-Dec-07,7.25,
22-Jan-08,6.5,
30-Jan-08,6,
18-Mar-08,5.25,
30-Apr-08,5,
8-Oct-08,4.5,
29-Oct-08,4,
16-Dec-08,3.25,
17-Dec-15,3.5,
15-Dec-16,3.75,
16-Mar-17,4,
,, 
,,
